000;00000000;XXXXXXX167;00000000;0000;+000000000000000;
061;22105101;XXXXXXX167;20260511;1613;+000000254378050;
061;22105102;XXXXXXX167;20260511;1613;+000000063594513;
602;99999999;XXXXXXX167;20260511;1752;+000000317972563;
000;00000000;XXXXXXX264;00000000;0000;+000000000000000;
061;22105101;XXXXXXX264;20260511;1613;+000008765432100;
061;22105102;XXXXXXX264;20260511;1613;+000002191358025;
602;99999999;XXXXXXX264;20260511;1752;+000010956790125;
000;00000000;XXXXXXX300;00000000;0000;+000000000000000;
061;22105101;XXXXXXX300;20260511;1613;+000000003529766;
061;22105102;XXXXXXX300;20260511;1613;+000000000882442;
602;99999999;XXXXXXX300;20260511;1752;+000000004412208;
